
Mine/Prospect,Notes 
Salton Sea (BHE),"Location: Additional Location Information: The nearest town Calipatria (pop 6,515, 2020), is about 23 miles from El Centro (pop 44,432, 2020), which is the county seat of Imperial County in southeastern California; over 100 miles east of San Diego. The developer already has 10 geothermal plants in the Salton Sea region, with a demonstration of lithium extraction in the Imperial Valley at the southern end of the Salton Sea in southeastern California.   The Salton Sea is a shallow, landlocked, highly saline endorheic lake in Riverside and Imperial counties at the southern end of California. It lies on the San Andreas Fault within the Salton Trough, which stretches to the Gulf of California in Mexico.
Project Description: Mining Method: Like other developers applying direct lithium extraction technology in the Salton Sea, this developer has experienced some technical difficulties with corroded equipment from the superhot brine, but technical progress has been made. 
Project Description: Status of Project: In 2024 the California Energy Commission issued its Final Project Report on the developer’s Lithium Recovery Demonstration Project.  The report documented that the Project faced setbacks, leading to the termination of the technology provider's contract due to insufficient progress.  This underscored the significance of brine pretreatment to successful lithium recovery, prompting a shift to alternative technologies focused on enhancing this process. While the Project is considered to be delayed indefinitely, a new joint venture may bring new life to the project.  In June 2024, Occidental and BHE Renewables, a wholly owned subsidiary of Berkshire Hathaway Energy, announced a joint venture for the demonstration and deployment of TerraLithium’s Direct Lithium Extraction and associated technologies to extract and commercially produce high-purity lithium compounds from geothermal brine.  TerraLithium, a wholly owned subsidiary of Occidental, has patented DLE technologies that have the potential to process any lithium-containing brine into a responsibly sourced supply of high-purity lithium.
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company: Originally the plan was to process onsite to lithium hydroxide, but the developer switched to lithium carbonate; easier to process but hydroxide is prefered by some EV battery manufacturers. 
Financial Support: Federal Agency: This grant was rescinded when the developer decided not to pursue the terms of the award.
Statements of Support from Public Officials: State: Contingent support of Lithium Valley Commission, recognizing need to manage risks. California Governor Newsome and Congressman Paul Ruiz support the Project. In 2022, California passed a law imposing new taxes on companies engaged in lithium extraction at the Salton Sea. The legislation designates 80% of the generated tax revenue to be distributed among the counties near these plants, with the remaining 20% allocated for the restoration of the Salton Sea. The law has the potential to bring millions in revenue to the historically underfunded region.
Statements of Support from Public Officials: Federal: President Biden's domestic-policy advisor Gina McCarthy visited the Salton Sea to endorse the projects.  President Biden himself praised the Salton Sea Projects as a strategy to reduce US dependence on China for processed lithium. 
Concerned Interest Groups: Indigenous Groups: Cahuilla Indian Reservation; Fort Yuma Quechan Tribe. 
Concerned Interest Groups: Scale of Environmental Groups: National -- Earthworks
Reasons for Concern: Water Quality: Poses risks to both water quality and quantity due to reliance on already struggling aquifers"
Salton Sea (CTR),"Location: Additional Location Information: The project’s plants and facilities will be located on undeveloped land owned by the Imperial Irrigation District, which is about 3.6 miles southwest of Niland on 16 parcels. The Salton Sea is a shallow, landlocked, highly saline endorheic lake in Riverside and Imperial counties at the southern end of California. It lies on the San Andreas Fault within the Salton Trough, which stretches to the Gulf of California in Mexico.
Project Description: Mining Method: Direct lithium extraction- ion-exchange technology.  
Project Description: Status of Project: The project is fully permitted and in January 2024 the developer broke ground on a commercial-scale facility to produce both renewable power and lithium hydroxide. 
Developer Description: Lead Developer: Controlled Thermal Resources Holdings, Inc. (CTR) is a U.S. company specializing in lithium and battery material products and renewable energy with projects in advanced development in the United States.  The company, which redomiciled to the United States in 2022, was established in 2013 and has headquarters in Imperial County, California. Additional offices are located in Brisbane, Australia, and in Houston, Texas. 
Financial Support: Public Supply Agreement w/ an Automaker or Battery/Component Producer: The developer has offtake agreements with General Motors, Stellantis and Statevolt (US battery manufacturer). 
Statements of Support from Public Officials: Local: Imperial County Board of Supervisors. 
Statements of Support from Public Officials: State: Contingent support of Lithium Valley Commission, recognizing need to manage risks. California Governor Newsome and Congressman Paul Ruiz support the Project. In 2022, California passed a law imposing new taxes on companies engaged in lithium extraction at the Salton Sea. The legislation designates 80% of the generated tax revenue to be distributed among the counties near these plants, with the remaining 20% allocated for the restoration of the Salton Sea. The law has the potential to bring millions in revenue to the historically underfunded region.
Statements of Support from Public Officials: Federal: President Biden's domestic-policy advisor Gina McCarthy visited the Salton Sea to endorse the projects. President Biden himself praised the Salton Sea Projects as a strategy to reduce US dependence on China for processed lithium. 
Litigation: Court Rulings Issued: A California Superior Court judge (lowest level) has ruled against environmental and tribal groups, allowing the CTR DLE project at the Salton Sea to proceed. The judge ruled that the County did analyze the environmental impacts and did reach out to the tribes for their views.
Concerned Interest Groups: Indigenous Groups: Cahuilla Indian Reservation; Fort Yuma Quechan Tribe. 
Concerned Interest Groups: Scale of Environmental Groups: National -- Earthworks
Reasons for Concern: Water Quality: Poses risks to both water quality and quantity due to reliance on already struggling aquifers
Reasons for Support: Economic Growth: According to an economist contracted by the County, the new facility will employ 250 construction workers for two-year stretches during the building phase, and 75 full-time operational jobs at the plant. He says that over a 30-year period the project will have a $1.6 billion impact on the regional economy. "
Sawyer Camp,
Sheep Creek,"Location: Additional Location Information: Located 38 miles south of Darby (pop 780, 2020) near the headwaters of the Bitterroot River in the Bitterroot National Forest (south of the Painted Rocks Reservoir), southwest Montana.
Project Description: Existing Mine: Commercial mining hasn’t taken place in the Bitterroot National Forest for decades. Previous mining activity in the Forest includes the Skalkaho Vermiculite Deposit in the Sapphire Mountains east of Hamilton, but mining hasn’t taken place for decades. The most recent activity was an EIS (environmental impact statement) approved in 1993, but the mine never went into operation and the disturbance has since been reclaimed.
Project Description: Status of Project: The developer’s original plan was to submit in 2024 a plan of operations to the USFS that includes exploratory drilling.  However, the developer decided to delay that submission until 2025 as it consults with nearby communities and completes low-disturbance soil and rock sampling.
Developer Description: Was There Change in Ownership during Project?: In 2024 the Canadian-based company U.S. Critical Metals pulled out of the project but retains a 12% stake in U.S. Critical Materials.
Financial Support: Federal Agency: Small amounts of DOE and DOD R&D funding.
Land Ownership: Type of Land: Contiguous footprint of over 218 federal lode mining claims over approximately 4,503 acres plus an Arizona state exploration permit for 640 acres.
Concerned Interest Groups: Scale of Environmental Groups: National -- Center for Biological Diversity; Local/Regional -- Friends of the Bitterroot, Alliance for the Wild Rockies, Friends of the Clearwater, and the Montana Environmental Information Center
Concerned Interest Groups: Recreational Groups: Trout Unlimited (TU) and Backcountry Hunters & Anglers (BHA)
Reasons for Concern: Classification of Species Impacted: There are concerns about the possible impacts of the Project on wolverines (threatened), bull trout, Canada lynx, mountain goats, Northern Rockies fisher and grizzly bears. 
Reasons for Concern: Inadequate Community Engagement: The groups contend that USFS and the developer have not engaged adequately with the public.
Reasons for Concern: Other: Possible asbestos exposure; concern that the stable, thriving economy in the area might be replaced with boom/bust cycle"
Sierrita,"Location: Additional Location Information: Located southwest of Tucson and west of the near towns of Green Valley (pop 22,616, 2020) and Sahuarita (pop 34,134, 2020), close to the Mexican border. 
Project Description: Existing Mine: Started as underground mine in 1920s, then open pit method in 1945.
Project Description: Status of Project: Serrita is the third largest copper-producing mine in the US and has sufficient reserves to be operated past 2090. Project has 873.6 million tonnes of ore grading 0.36% copper. 
Was There a Change in Ownership during Project?: Claimed in 1882 and changed hands several times before FCX acquired it. Current developer acquired it in 2007.
Processing Plan: Processing Done by the Same Lead Developer/Parent Company: Some processing occurs on site.  Looking forward, SX/EW plant will produce approximately 9 million pounds per year of copper cathode from solution generated by low-grade stockpile leaching.
A pressure-leach plant will process molybdenum concentrate.  
Statements of Support from Public Officials: Local: City council members
Reasons for Concern: Traffic & Noise: Nearby town of Kirkland resistant to mine expansion, don't want exacerbated traffic & noise.
Reasons for Concern: Air Quality: The developer has had a persistent challenge in controlling dust emissions from the tailings pile, though progress has been made in recent years with advanced dust suppression techniques.
Reasons for Concern: Water Quality: Some ecologists fear that the land sale will lead to species habitat loss and water-quality issues.
Reasons for Support: Employment: 1080 direct jobs, 3,970 total jobs in the state of Arizona. "
Silver Bell,"Location: Additional Location Information: Located next to the Ironwood Forest National Monument near Mirana (pop 51,906, 2020), 36 miles northwest of Tucson, Arizona.  Silver Bell is an abandoned mining town that existed twice. The project site is 4 miles southeast of the original town site.
Project Description: Mining Method: Shift from underground to surface mining occurred after World War 2.
Project Description: Status of Project: A major expansion of the mine is unlikely. More copper resources may exist east and west of the currently active mining area, but that ground is effectively off-limits because it lies within Ironwood Forest National Monument.
Project Description: Regulatory Challenges: Silver Bell is an active mine with expansion potential east and west of the current footprint. However, that ground is off-limits because it lies within the Ironwood Forest National Monument. Congress has generally placed land around National Monuments off limits to mining.
Developer Description: Was There Change in Ownership during Project?: ASARCO acquired the site in 1915.  Sold 25% interest to Mitsui in 1996.  Resumed 100% ownership in 2014. ASARCO owned by Grupo Mexico, largest mining company in Mexico.                                                                                                                                                                                                                                                    Commercial Plans: Processing Done by the Same Lead Developer/Parent Company: Copper-bearing solutions from the dump leach and rubble areas are collected and pumped to the solvent extraction plant where the copper in solution is concentrated over 30 times before being pumped to the tank house. In the tank house, the copper is recovered from solution using the electrowinning process and plated on stainless steel starter sheets as high-purity cathodes.  Cathode copper produced in the solvent extraction / electrowinning (SX/EW) operation is sold to producers of copper rod, tubing and wire.
Reasons for Concern: Water Quality: ASARCO will pay $170,000 in civil penalties for dumping 340,000 gallons of wastewater containing sulfuric acid and heavy metal into dry washes on three different occasions. 
Reasons for Concern: Classification of Species Impacted: Threatened jaguar. 
Reasons for Concern: Reputation of the Developer/Parent Company: Critics point to Mexican parent company of developer as company with reputation for “union busting” and toxic spills. 
Reasons for Support: Other: Generation of specialized copper products for industry                                                                                                                                   "
Silver Peak,"Location: Additional Location Information: Located 40 miles southwest of Tonopah (pop 2,179, 2020), near town of Silver Peak (pop 213, 2022), Clayton Valley, western edge of Nevada near the California line. 
Project Description: Status of Project: The developer was doubling production at Silver Peak when the global lithium slump caused financial problems (2023-2024) for the developer.  It is not yet clear whether the expansion will be delayed or pared back.  
Project Description: Regulatory Challenges: While Albemarle was initially granted all the water rights in the county, with more lithium companies beginning operations in the area, they have had to defend their water rights in judicial and regulatory proceedings.
Commercial Plans: Processing Dome by the Same Lead Developer/Parent Company: Onsite chemical processing makes it into lithium carbonate; a small lithium hydroxide conversion plant operates on site. Some of the carbonate from Silver Peak is sent to Albemarle’s processing facility in Kings Mountain, North Carolina. There it can be further refined into lithium hydroxide, which is used for electric vehicle batteries.  First stage processing: brine is taken to an on-site plant, where lime and soda ash is added to further the transformation; it is then filtered, pressed and dried into lithium carbonate. 
Commercial Plans: Total Capital Costs: $30-50 million for expansion project 
Financial Support: Federal Agency: $9.3 million of a $30 million DOE grant (2024) to Albemarle will be used to support expansion of lithium carbonate production at Silver Peak. 
Land Ownership: Type of Land: Public and Private: 6,068 acres is private land owned by – or leased to – Albemarle; another 1,318 acres is on public land administered by the BLM.  
Litigation: Evidence of Litigation: There is a long history of litigation over water rights in water-stressed Clayton Valley, Nevada as Albemarle claims almost exclusive access (as it operates the Silver Peak lithium mine and has expansion plans).  Other developers have sued Albemarle seeking access, claiming that Albemarle is not using all of its allotted water rights and they don't last forever.  One developer, Nevada Sunrise, was in litigation with Albemarle from 2017-2019 and finally reached a settlement in July 2019.    
Reasons for Concern: Impacts to Natural Environment: Concern of land consumption
Reasons for Concern: Other: Concern that economy will enter a boom/bust cycle                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
Smackover-LANXESS,"Project Name: Also called Phase 1A Project. The LANXESS Project refers to a suite of contemplated staged expansion projects relating to the LANXESS South, Central, and West Brine Production Units. This Commercial Lithium Extraction Plant Project at
LANXESS South Plant (Phase 1A or Project) is the first stage of development of the LANXESS Project.
Location: Additional Location Information: Located 8 miles southwest of El Dorado, a city in and the county seat of Union County, on the southern border of Arkansas. The Smackover Formation is a limestone aquifer that spans across several states in the southern United States, including Texas, Arkansas, Louisiana, Mississippi, and Alabama. It includes a broad area of oil and gas production and a region of active production of bromine. While the area is now mostly emptied of fossil fuels, it is filled with a brine that contains lithium, perhaps the highest lithium concentrations in continental brines in the United States. 
Project Description: Mining Method: The developer has selected the Lithium Selective Sorption (LSS) process as the Direct Lithium Extraction (DLE) process for the project. LSS is a Koch Technology Solutions, LLC (KTS) proprietary technology to extract lithium ions from pre-treated Smackover brine.
Project Description: Status of Project: This brownfield development aims to achieve significant commercial lithium production by processing tail brine from the existing bromine operations at the LANXESS South Plant in Union County, Arkansas. The developer commissioned a demonstration plant at LANXESS’ South Plant facility in May 2020 and the LSS DLE process has been in operation at the Demonstration plant since October 2022.The future plan features a commercial-scale Direct Lithium Extraction (DLE) and lithium carbonate conversion facility by 2026. The feasibility study was completed in 2023.  
Commercial Plans: Processing Plan in US: The developer is looking into constructing a facility to process Li into Lithium Carbonate at the El Dorado facility.
Land Ownership: Type of Land: LANXESS, a specialty chemicals company, has exclusive brine extraction rights for 149,442 acres which is contained within three brine production units, known as the South, Central, and West Brine Units.
Statements of Support from Public Officials: Local: Mayor of Magnolia supports the project.                                                                                                                                                                                                                                                                                                                                                     "
Smackover-XOM/Galvanic,"Location: Additional Location Information: Located approximately 15 miles west of the City of Magnolia in Lafayette County, southwestern Arkansas, United States. The SWA Property lies wholly within Lafayette and Columbia counties. The Smackover Formation is a limestone aquifer that spans across several states in the southern United States, including Texas, Arkansas, Louisiana, Mississippi, and Alabama. It includes a broad area of oil and gas production and a region of active production of bromine. While the area is now mostly emptied of fossil fuels, it is filled with a brine that contains lithium, perhaps the highest lithium concentrations in continental brines in the United States.  
Project Description: Mining Method: The developer will use conventional oil and gas drilling methods to access lithium-rich saltwater from reservoirs about 10,000 ft underground, and then apply direct lithium extraction (DLE) technology to separate lithium from the saltwater.  The remaining saltwater will be reinjected into the underground reservoirs. 
Project Description: Status of Project: The developer plans to begin production in 2027.  Development may be slowed by the State of Arkansas's slow pace in resolving the size of royalties.  
Developer Description: Was There Change in Ownership during Project?: The developer acquired its Smackover rights from Galvanic Energy in early 2023. Building on the deal with Galvanic, the developer entered into a partnership with Tetra Technologies Inc. to jointly develop 6,100 lithium-rich Smackover formation acres.
Commercial Plans: Processing Done by the Same Lead Developer/Parent Company: Once lithium is extracted from brine, the developer will convert it onsite to battery-grade material.
Land Ownership: Type of Land: The SWA Property is comprised of 489 land tracts containing 851 individual leases and eight salt water (brine) deeds that covers 27,066 net mineral acres (10,953 net mineral hectares). The proposed unitized SWA Property encompasses 36,839 gross mineral acres (14,908 gross mineral hectares) and forms the updated 2023 resource and project area. The leases and deeds are held by TETRA. TETRA began acquiring brine deeds and/or brine leases in 1992 and added additional brine leases in 1994, 2006 and 2017. Standard Lithium acquired the SWA Project brine production rights to lithium directly from TETRA through an option agreement providing that Standard Lithium makes annual payments.
Statements of Support from Public Officials: Local: The Magnolia Mayor announced support for further development of the Smackover Formation, including bromine and lithium.
Statements of Support from Public Officials: State: State Rep. Wade Andrews, R-Camden, indicated support for lithium plans due to the economic development stimulus in the impoverished area.
Concerned Interest Groups: Scale of Environmental Groups: National -- Earthworks
Reasons For Concern: Water Quality: Brines can contain naturally-occurring toxic substances plus those from previous drilling operations. 
Reasons for Concern: Other: Inadequate royalties. 
Reasons for Support: Cleaner than Other Sources: Cleaner if mined here rather than if mined abroad."
Sunnyside Copper,"Location: Additional Location Information: Located 20 miles north of the Mexican border, 7 miles from the town of Patagonia (pop 804, 2020), 15.5 miles northeast of the Town of Nogales (pop 19,770, 2020) in southern Arizona; about 50 miles south of Tucson in the in southern Patagonia mountains. 
Project Description: Status of Project: The developer’s 2024 diamond core drilling program revealed high-grade copper-silver and lead-zinc-silver veins, underscoring the promise of the project.
Project Description: Regulatory Challenges: A previous developer was awarded a permit by USFS for exploratory drilling but, in 2015, environmental groups persuaded a district court that USFS had not performed an adequate NEPA analysis.  Further delays occurred when the previous developer and another developer disputed land rights around the project.  The current developer again obtained a USFS permit for exploratory drilling and, in 2023-2024, worked with the USFS to defeat another lawsuit against USFS, which called for a preliminary injunction against the exploration permit based on environmental concerns. A key theme of this lawsuit is that USFS allegedly failed to consider the cumulative harm from multiple mining projects in the same mountainous ecosystem.                                                                                                                                                                                                                                                 Developer Description: Was There Change in Ownership during Project?:The developer acquired 100% ownership of the project from Ragsdale in May 2021.  Previously it was a joint venture.                                                                                                                                                                                  
Litigation: Evidence of Litigation: In the first case, environmental groups persuaded a federal district court (2015) to block an exploratory drilling plan until the USFS and the developer completed an adequate environmental analysis (EA). The USFS had granted the developer a categorical exclusion for an EA under NEPA because of the limited duration and scope of the exploration plan.   In the second case, environmentalists in 2023 sought a preliminary injunction against exploratory drilling at the site.  A federal district court and the 9th Circuit refused to grant the injunction; the merits of the lawsuit are being heard in the federal district court in 2024.                                                                                                                                                                                                                                                   Concerned Interest Groups: Scale of Environmental Groups: Local -- Patagonia Area Resource Alliance (PARA); National -- Defenders of Wildlife
Reason for Concern: Classification of Species Impacted: Concerns have been expressed about endangered species such as the jaguar and ocelot, and threatened species such as the Mexican spotted owl and the Western yellow-billed cuckoos."
Tamarack ,"Location: Additional Location Information: Located 1.5 miles north of Tamarack (pop 57, 2020), 10 miles east of McGregor (pop 384, 2020), and 30 miles west of Cloquet (pop 12,568, 2020) in central Minnesota; around 130 miles north of Minneapolis and 50 miles west of Duluth.
Project Description: Status of Project: Talon’s proposed nickel-copper-cobalt mine is currently being submitted for federal environmental review. Once approved, it could potentially enter production as soon as 2028.    
Project Description: Regulatory Challenges: In 2024, the developer submitted its seventh exploration plan, seeking agency approval. Concerns have been raised by both tribal and environmental groups. 
Developer Description: Lead Developer: The project is being developed through a joint venture with Kennecott, a subsidiary of Rio Tinto.
Developer Description: Parent Company: Talon Metals owns 51% of the Tamarack project. The other 49% is owned by Kennecott- Exploration Company, a subsidiary of Rio Tinto.
Commercial Plans: Processing Plan in US: Processing will occur in a nearby town in North Dakota. 
Financial Support: Federal Agency: DOE $114 million grant for a processing plant in nearby North Dakota. Talon has also been awarded $21 M from DOD, some which may be used at Tamarack. In 2024, the US Department of Defense awarded Talon a $2.4 million contract to aid research and development into new techniques for extracting minerals from nickel sulphide ores and tailings. The research will focus on the Tamarack project. 
Financial Support: Public Supply Agreement w/ Automaker or Battery/Component Producer: Talon has an agreement with Tesla Inc. to supply 75,000 metric tonnes (165 million lbs) of nickel in concentrate (and certain by-products, including cobalt and iron) from the Tamarack Nickel Project over an estimated six-year period.
Land Ownership: Type of Land: 90% state owned lands, 10% private land.
Litigation: Court Rulings Issued: In early stages of environmental review but may face obstacles similar toTwin Metals. 
Concerned Interest Groups: Indigenous Groups: Mille Lacs Band of Ojibwe, Tribe of the Lake Superior Chippewa, Ojibwe tribe
Concerned Interest Groups: Scale of Environmental Groups: Local -- Tamarack Water Alliance
Reasons for Concern: Land Use (Built Environment): Concern of increased traffic and disruptions from heavy trucks and rail routes.
Reasons for Concern: Impacts to Natural Environment: Concern about possible permanent ecological damage to surrounding wetlands and forests.
Reasons for Concern: Site of Historical, Cultural, Spiritual Significance: Risk of disruption to tribal way of life; Fear dust from mine will hurt manoomin (a wild rice crucial to tribal diet); Also fear disruption of subsistence hunting, fishing, and harvesting of plants.
Reasons for Concern: Traffic & Noise: Increased truck traffic and noise from explosions.
Reasons for Concern: Air Quality: Concerns about air pollution from mine vents and mineral dust.
Reasons for Concern: Water Supply: Risk of mining-related activities affecting local aquifers and water availability.
Reasons for Concern: Water Quality: Fear of sulfuric acid drainage polluting lakes and rivers; Potential rise in sulfate levels harming water quality and aquatic ecosystems; Risk of toxic heavy metals leaching into groundwater.
Reasons for Concern: Impact on Species: Potential harm to plant and animal species reliant on clean water, such as wild rice.
Reasons for Concern: Recreation: Risk of disruption to tourists and seasonal residents
Reasons for Concern: Agriculture: Risk to tree farms and agricultural areas from land use changes.
Reasons for Concern: Subsistence Hunting/Fishing: Threat to tribal subsistence fishing and hunting practices due to pollution and ecosystem disruption.
Reasons for Concern: Historical Mining or Reclamation Issues: Allegedly empty reclamation promises in previous mining projects
Reasons for Concern: Reputation of the Developer/Parent Company: Distrust of Rio Tinto due to prior controversies, including destruction of cultural heritage sites; Doubts about Talon’s environmental claims and ""Green Nickel"" branding.
Reasons for Concern: Inadequate Community Engagement: Perception of insufficient consultation with Indigenous tribes and local communities; Concerns about a lack of transparency in the environmental review and approval process."
Thacker Pass,"Location: Additional Location Information: Located 21 miles west-northwest of Orovada (pop 117, 2020) and 60 miles north-northwest of Winnemucca (pop 8,431, 2020) within the McDermitt Caldera (an old volcanic complex on the Nevada-Oregon border); 200 miles north of Reno in northwest Nevada.
Project Description: Status of Project: The fully permitted project is now under construction, with full production scheduled for 2028.
Project Description: Regulatory Challenges: The project was delayed several years due to permitting delays and lawsuits related to the concerns of ranchers, environmentalists and tribal groups.  Regulatory deliberations may not have ended: The USFS has initiated a one-year study of an endangered snail at the project site. 
Financial Support: Federal Agency: DOE loan in final stages: $2.62 billion for lithium carbonate processing facility.
Financial Support: Public Supply Agreement w/ an Automaker or Battery/Component Producer: GM has restructured and expanded financial commitment to Thacker Pass. GM will invest $625 million in Thacker Pass (a 38% stake), Lithium America’s retains majority (62% stake). GM’s original plan was to invest only $328 million in the first phase.  GM receives exclusive rights to output from mine for first 20 years, then 38% of mine’s output in second 20 years.  
Statements of Support from Public Officials: Federal: Both the Trump administration (first term) and the Biden administration supported the project.
Litigation: Evidence of Litigation: There were two lawsuits against BLM's decision about Thacker Pass in the same federal court. The first one focused on the environmental impacts and was led by a rancher, environmental groups, and two tribes. The second brought in additional tribes and focused on whether BLM engaged in proper consultation with the tribes. The plaintiffs lost the original lawsuit  in both the district court and the 9th Circuit. The second one lost in district court and the tribes decided not to appeal to the 9th Circuit. 
Concerned Interest Groups: Indigenous Groups: Reno-Sparks Indian Colony, Burns Paiute Tribe, and Summit Lake Paiute Tribe.
Concerned Interest Groups: Scale of Environmental Groups: National -- Center for Biological Diversity; Local/Regional -- Western Watersheds Project, Wildlands Defense, Great Basin Resource Watch, and Basin and Range Watch.
Concern Groups: Evidence of Organized Protests: At least three instances of barricade and protests camps. 
Reasons for Concern: Site of Historical, Cultural, Spiritual Significance: Where US Cavalry allegedly massacred the Paiute people.
Reasons for Concern: Impact on Species: Rare Kings River pyrg, a tiny aquatic snail; additional listed species such as the sage grouse, Lahontan cutthroat trout, old growth sagebrush.
Reasons for Concern: Reputation of the Developer/Parent Company: Critics point to the developer's alleged human rights violations in Argentina. "
TLC ,"Location: Additional Location Information: Located 6 miles northwest of Tonopah (pop 2,179, 2020) in the Big Smoky Valley, halfway between Reno and Las Vegas. 
Project Description: Status of Project:  Exploration -- The 2024 drilling program will allow an update to the January 2023 resource estimate.  Environmental baseline study work and hydrology/water monitoring are on-going as the developer readies to commence the Mine Plan of Operations permitting process.
Reasons for Support: Cleaner than Other Sites: Some lithium projects pose much less ecological risk than others due to absence of nearby groundwater-dependent ecosystems and absence of habitat for endangered and threatened species.  Projects around Tonopah may be especially low in ecological risk, TLC and Tonopah Flats have been mentioned specifically. "
Tohono,"Location: Additional Location Information: Approximately 25-30 miles south of Casa Grande, near the village of North Komelik, Pinal County, southwestern Arizona.                                         Land Ownership: Type of Land: Private land -- Developer has 4,180 acres of land leased from the Bureau of Indian Affairs and the Tohono O’odham Nation."
Tonopah Flats,"Location: Additional Location Information: Located in Big Smoky Valley 5 miles west of town of Tonopah (2179, 2020) between the San Antonio Mountains to the east and the Monte Cristo Mountains to the west. Tonopah is located at the junction of U.S. Routes 6 and 95, approximately midway between Las Vegas and Reno, Nevada.
Project Description: Existing Mine: Production ended in 1982, peak production in 1953.
Project Description: Status of Project: Exploration. 2023 drilling program led to updated mineral resource estimates in a 2024 technical report.  Since Tonopah Flats is an unconventional claystone resource, the developer has advanced first-of-kind lithium hydroxide extraction and purification processes specific to the site’s claystone material.  In 2024 the developer finished construction of an integrated pilot scale facility to demonstrate these processes.
Financial Support: Federal Agency: The developer has received a DOE grant to help finance a commercial scale lithium hydroxide refinery, a DOE grant for a demonstration facility of techniques to convert claystone into lithium hydroxide, and multiple DOE tax credits for battery recycling facilities. 
Reasons for Support: Cleaner than Other Sources: Some lithium projects pose much less ecological risk than others due to absence of nearby groundwater-dependent ecosystems and absence of habitat for endangered and threatened species.  Projects around Tonopah may be especially low in ecological risk, TLC and Tonopah Flats have been mentioned specifically. "
Tormey,"Location: Additional Location Information: Located approximately 10 miles southwest of Salmon, Lemhi County, Idaho with a population of 6,724.              Project Descriprtion: Status of Project: The developer plans a 2500m drill program to test the extensions of  high grade surface zones at depth.  In September 2022 USFS approved drilling 30 holes averaging 1,000 on 10 drilling pads along Torney Creek and Perreau Creek.                                                                                                                                                                                          Land Ownership: Type of Land: Salmon-Challis Forest"
Twin Metals ,"Location: Additional Location Information: Located 9 miles southeast of Ely (3,268, 2020) and 11 miles northeast of Babbitt (pop 1,397, 2020) in northeastern Minnesota. The site is part of the  Duluth Complex geologic formation and is located near the Boundary Waters Canoe Area Wilderness.
Project Description: Status of Project: Under the Biden administration, the developer’s leases were canceled and a 20-year moratorium was placed on underground mining in the Superior National Forest. Recently (late 2023), the developer obtained permission from the state to explore on nearby state-owned land not covered by the federal moratorium. 
Project Description: Regulatory Challenges: The Obama, Trump and Biden administrations flip flopped on the validity of the developer’s leases, which were invalid as of December 2024.  The developer was unsuccessful in the first round of litigation (2022) aimed at restoring the leases; in November 2023 the developer appealed that decision to the D.C. Circuit Court of Appeals. The DC Circuit may not reach a verdict, since the Department of Justice under President Trump may request that the Trump administration be given an opportunity to resolve the issue.  President Trump has pledged to allow the project to move forward, but a complex bureaucratic process is required to make that happen.
Developer Description: Parent Company: A local Duluth-based company explored the site and then partnered with a Chilean-based multinational to help finance and develop it.  The two companies formed Twin Metals Inc, the current developer.
Commercial Plans: Processing Plan Elsewhere in North America: The developer has no on-site processing plan but processing could occur at facilities in Canada and/or Mexico.
Statements of Concern from Public Officials: Local: Since 2016, the nearby community of Ely has been divided on the merits of the project, with intense views on both sides. 
Litigation: Evidence of Litigation: The first case addressed whether the Trump administration (2017), through BLM, was allowed to reinstate the leases for Twin Metals that the Obama administration had cancelled (2016). A federal district court ruled that the leases were reinstated lawfully.  When the Biden Administration, through BLM and USFS, rescinded the leases again, and the developer sued, a federal district court (2023) ruled that the rescissions were lawful. The developer sued to regain the leases but lost its suit in federal district court. The developer appealed to the DC Circuit Court of Appeals, which was deliberating in 2024.
Concerned Interest Groups: Indigenous Groups: Ojibwe and Chippewa Tribes 
Concerned Interest Groups: Scale of Environmental Groups: Local/Regional -- Friends of the Boundary Waters Wilderness; National -- Earthjustice, Wilderness Society, Izaak Walton League of America
Reasons for Concern: Impacts to Natural Environment: Project is located near the Boundary Waters Canoe Area Wilderness and Superior National Forest, raising concerns about potential environmental degradation and threats to waters and ecosystems.
Reasons for Concern: Water Quality: surface and groundwater quality concerns.
Reasons for Concern: Recreation: Concern over impact on tourism.
Reasons for Concern: Historical Mining or Reclamation Issues: History of pollution from other mines in area, including inadequate reclamation.
Reasons for Concern: Reputation of the Developer/Parent Company: Critics of the project point to the fact that the Chilean parent company has been accused of various wrong doings in its home country of Chile.
Reasons for Support: Other: Supportive of better labor standards than mines abroad                                                                                                                                                                              "
