Mine/Prospect,Project Name,Mining Method,Co-Producing Materials,Existing Mine,Status of Project,Regulatory Challenges ,County,Nearest Population Center,Population Size,Additional Location Information,Mining District,Mineral Occurrence,Lead Developer,Location of Lead Developer HQ,Lead Developer Website,Parent Company,Location of Parent Company HQ,Was There Change in Ownership during Project?,Planned Production Capacity (Thousands of Tons/Year),"Planned Lifespan of Mine 
(Years)",Processing Plan in US,Processing Done by the Same Lead Developer/Parent Company,"Total Capital Costs
 (Millions of Dollars)",Number of Federal Awards,Financial Support by Federal Agency,Year Granted,Grant/Loan,"Amount 
(Millions of Dollars)",Purpose of Support,Public Supply Agreement w/ an Automaker or Battery/Component Producer,Type of Land,Public Land Ownership,Year of Land Acquisition,Evidence of Litigation,Number of Cases,State and/or Federal,Court Rulings Issued,Level of Court,Link to Judicial Decision
Pea Ridge ,,,,Mining rare earths is a new development.,"The Pea Ridge mine would be among the first in the US to produce relatively large amounts of dysprosium, a critical element in electric motors.  The developer will use membrane solvent extraction technology to separate rare earths in mined ore through a licensing arrangement with the federal government’s Oak Ridge National Laboratory, a unit of the Department of Energy.  ",The regulatory requirements for management of radioactive thorium at the site could affect the commercial viability of the site and have slowed development. ,,,,"Located near Miramiguoa Park (pop 120, 2020) in southeast Missouri.",,,,,,,,,,,,Caldera Holding has licensed ORNL's membrane solvent extraction technique to separate rare earth elements in mined ore. ,,,,,,,,,,,,,,,,,
Pebble,,,,"Deposits discovered in 1987 by Cominco Alaska (Teck Resources Ltd.), optioned by Northern Dynasty Minerals in 2001, explored in 2002, and drilled from 2002-2013 with discovery of Pebble East in 2005. Preparation for the permitting process began and administrative review lasted over 13 years.  ","Advanced exploration, but delayed indefinitely","The developer has received multiple permits from the State for exploratory activities that have extended over a decade. In July 2020, the U.S. Army Corps of Engineers published a final environmental impact statement (EIS) recommending development of the Pebble project. However, the federal government reversed its position at the urging of advisors to President Trump.  Later in 2020 the Trump Army Corps of Engineers rejected a permit application regarding disposal of dredge material that was critical for project development. On January 31, 2023, the EPA under Biden (who had made a campaign pledge to stop the mine) effectively vetoed the project, using a rarely invoked power under Section 404 (c) of the Clean Water Act to restrict development to protect watersheds. The EPA action, which bans the disposal of mine waste in part of the Bay’s watershed, safeguards a much larger area than what the developer had proposed to mine. This is the 14th time in the history of the Clean Water Act and just the third time in the past 30 years that EPA has used this veto authority. The developer appealed the Army Corp decision, arguing that the decision was inconsistent with the EIA (which the Corps had led with multiple federal, state and local agencies) but the Corps refused to act on the appeal, citing EPA’s decision to put the land off limits to mining. Separately, the Conservation Fund, an environmental preservation organization, purchased conservation easements for 44,000 acres of land owned by a Native village corporation near Iliamna Lake, about 20 miles south of the proposed mine site and the area covered by the E.P.A. ruling. The easements effectively block development and would make construction of an access road more difficult.",Lake and Peninsula Borough.,,,"200 miles southwest of Anchorage, near headwaters of the Bristol Bay, 17 miles northwest of the village of Iliamna (pop 108, 2020), Lake and Peninsula Borough, southwest Alaska",,,,,,,,,"320 million lb. copper; 368,000 oz gold; 15 million lb molybdenum; 1.8 million oz silver and 10,000 kg rhenium. ",Mine's lifespan could be extended up to 100 years with mine expansions.,,"The open pit mine will feed a 180,000 copper flotation concentrator capable of processing 1.3 billion tons of mineralized material over 20 years of mining.  The PEA includes some expansion scenarios with a larger processing operation. ",,,,,,,,,"The developer holds mineral rights for 186 square miles (480 km2) of the area, an area that includes the Pebble deposits, as well as other, less explored, mineral deposits. ",,,"Developer and State of Alaska sued the Army Corps of Engineers in the US District Court for the District of Alaska. Seeking to override the permit denial. A separate lawsuit against EPA was filed by Iliamna Natives Limited and the Alaska Peninsula Corporation, alleging the EPA overstepped its authority with its final decision to block the Pebble Mine project; The State of Alaska has also sued the federal government seeking more than $700 billion in compensation in the US Court of Federal Claims in the District of Columbia. This is based on a 100-year estimate of what the mine would have done for economic development in Alaska; The developer has sued separately in the Federal Claims Court, citing that it has expended more than $1 billion acquiring the land and developing the site; the US Supreme Court in January 2024 declined to take up Alaska v United States, an emergency request from the State of Alaska to review the Biden EPA veto of the proposed Pebble copper and gold mine in the Bristol Bay watershed.  The Court’s decision forces Alaska to go through the lower federal courts with its concerns; the case could eventually make it to the Supreme Court for a merits ruling. ",,,,,
Pickett Mountain,,,,,"The developer tried twice to persuade the Maine Land Use Planning Commission to modify zoning law to allow the project.  After the second try, the Commission voted, in 2023, 5 to 2 against a zoning change.",Maine recently passed legislation that made securing the necessary permits for mining operations more intensive. The developer also faced zoning challenges that ultimately led to the proposed mine being delayed indefinitely; In 2023 the planning commission voted 5-2 against the rezoning petition from the developer. ,,,,"Located 10 miles north of Patten (pop 771, 2020), east of Baxter State Park, northern Maine.",,,,,,,,Land previously owned by Getty Oil & Chevron who let the mineral leases for the property expire in 1998; acquired by current owner in 2017.,,,,,,,,,,,,,Leased land.  6781 acres was acquired by Wolfden Resources in 2017 for $8.5 million.,,,,,,,,
Pinto Valley,                                                         ,,,,"In November 2021 the developer received final approvals from the US Forest Service for a new mine plan of operations, approved by the Tonto National Forest, extending Pinto Valley’s life to the year 2039.",The 2021 decision of the USFS to expand the mine is the subject of a lawsuit by Earthjustice and other environmental groups against the USFS.,,,,"Located 8 miles west of the town of Miami (pop 1,532, 2023) in central Arizona; 80 miles east of Phoenix via Highway 60. ",,,,,,,,Capstone acquired mine from BHP in October 2013. Capstone operates mine through affiliate Pinto Valley Mining.,,,,,,,,,,,,,,,,"In September 2024, conservation groups sued the U.S. Forest Service and U.S. Fish and Wildlife Service for violating the National Environmental Policy Act, Endangered Species Act, and other laws in approving expanded operations at the Pinto Valley Mine, east of Phoenix. The litigation was not resolved as of December 2024.        ",,,,,
Pope-Shenon,,,,"Produced about 5 million pounds of copper (underground) from 1909 to 1975, inactive since.",The developer did not announce activity in 2024.,,,,,"Located at the north end of the Lemhi Range, is near Baker (pop 68, 2020), central Idaho at the border with Montana; near entrance to Great Basin National Park; recent exploration work was 7 miles southeast of Salmon (3,295, 2023), Idaho.",,,,,,,,,,,,,,,,,,,,,Claims within Salmon National Forest,,,,,,,,
Ray,,,,,"The Ray Complex encompasses the Ray Mine and SXEW Plant, the Ray and Hayden Concentrators, the Hayden Smelter, and the Copper Basin Railroad.  The Hayden concentrator is located next to the Hayden smelter about 20 miles from the Ray mine. In 2009 the 9th Circuit, in a split (2-1) decision, blocked a land exchange that was crucial for an expansion of the Ray Mine.  In 2020 BLM under the Trump administration again approved the land exchange.  Meanwhile, the developer is planning to reopen the shutdown Hayden copper smelter, as there are only two operating smelters in the US: the Miami smelter in Arizona and Kennecott smelter in Utah. ","The expansion project which required a public land swap was delayed for 26 years, due to litigation and a ten-year NEPA process. ",,,,"Located 10 miles north of town of Kearney (pop 1,741, 2020), 80 miles southeast of Phoenix, Arizona. ",,,,,,,,,,,,,,,,,,,,,"The 2020 land exchange: the BLM acquired 7,298 acres of privately owned land; in exchange, the BLM transferred 9,339 acres of public land adjacent to ASARCO’s Ray Mine Complex and Copper Butte properties near Kearny, for mine expansion.",,,Federal appeals court issued a decision in 2010 opposing the land swap at the Ray Mining Complex in Arizona. The Bureau of Land Management (BLM) later approved the land exchange and addressed the court’s environmental concerns through a 2019 rulemaking. ,,,,,
Resolution Copper,,,,,"Developer activity at the site has been delayed by multiple lawsuits but in 2024 the USFS said it plans to re-publish an environmental report before July that will set in motion a land swap between the U.S. government and Rio Tinto, allowing the miner to develop its Resolution Copper project in Arizona. The developer’s new schedule for the delayed mine calls for production to begin by the end of the decade.; In 2025, this project was added by the Trump administration to the FAST-41 dashboard to accelerate its permitting. ","Delays have occurred due to litigation over whether the mine would infringe on the religious rights of the Western Apaches, who believe the site is home to the ga'an or Mountain Spirits and has for centuries been the site of ceremonies for the Western Apaches.  The Forest Service, under the Biden administration, delayed approval of the project during the appeals process, citing the need for more consultation with the Western Apaches.  The 9th Circuit Court rejected the suit by the Apache tribe and approved the land swap, which could allow the developer to begin production by 2030.",,,,"Located 60 miles east of Phoenix, Arizona, near the town of Superior (pop 2,407, 2020) in northern Pinal County.  Superior was founded as a mining town for the Silver King and the later Magma mines; silver was mined at first, and then copper.",,,,,,,,,25% of America's copper needs- largest copper mine in US.,,The developer has plans to smelt the copper in Utah.,,,,,,,,,,,,,"In 2014 the U.S Congress approved a land swap, which gave the developer the rights to access a region of land in central Arizona (near Superior, Arizona) called Oak Flat, which was previously withdrawn from development.  Apache Stronghold, a Western Apache group, sued the US Fish and Wildlife Service on the grounds that the land swap violates the First Amendment of the US Constitution as well as tribal land management statute and a US treaty with tribes regarding consultation and governance. In March 2024, Ninth Circuit U.S. Court of Appeals ruled, in a divided 6-5 decision, that a land swap between the federal government and Resolution Copper could move forward despite a request by the Tribe to halt the exchange. In May of 2025, the US Supreme Court, in a 6-2 decision (with Justice Alito not participating), declined to block the transfer of Oak Flat for mining, leaving the lower court’s ruling in place.; In 2023 the Arizona Supreme Court vacated a lower court ruling that the state should not have granted a water permit, because the expansion of the existing mine was a new pollutant source that could damage the Queen Creek (desert) river. The US Supreme Court declined to hear the issue on appeal regarding the granting of a water permit. ",,,,"The federal district court upheld the land swap, a split panel (2-1) of the 9th Circuit upheld the land swap, and the entire 9th Circuit upheld the land swap 6-5.  The Supreme Court has not yet decided whether to hear an appeal.",
Rhyolite Ridge,,,,"Although the area has not previously been mined, it has been explored off and on for decades. The earliest known boron exploration activities began in the 1890s. More recent exploration activities occurred in the 1960s, the 1980s, the 1990s, the 2010s, plus there is the recent exploration by the current developer. In 2025 the developer delayed onset of construction to 2026 to allow time for recruitment of a new financial partner. ","The project is fully permitted and construction has begun. The developer projects that active production could occur by 2028, assuming no judicial setbacks.            ","A multi-year delay in federal permitting occurred due to concerns that the project could harm the habitat of a rare desert flower (Tiehm's buckwheat). The Fish and Wildlife Service designated 910 acres of critical habitat on lands managed by the Bureau of Land Management in the Rhyolite Ridge area of the Silver Peak Range in Esmeralda County, Nevada, to help conserve the imperiled plant. The developer modified the location of the mine to minimize the Project's risk to the flower while also pledging use of advanced dust-suppression methods to further protect the flower.  ",,,,"Located approximately 14 miles northeast of Dyer, Nevada. It is 65 miles southwest of Tonopah, Nevada (closest city), 215 miles from Reno (third largest city in Nevada), and 255 miles from Las Vegas (largest city in Nevada). Situated in the Silver Peak Range, part of the Basin and Range physiographic province of southwestern Nevada. Esmeralda County, which has no incorporated communities, is the least populated county in the state of Nevada; the county seat is the town of Goldfield.",,,"Ioneer spent about $172 million over eight years (2017-2024) to develop the project. In September 2021, Sibanye-Stillwater entered into an agreement with Ioneer to establish a joint venture company with respect to Rhyolite Ridge. Sibanye-Stillwater may acquire up to a 50% interest in the Joint Venture, with Ioneer maintaining a 50% interest and retaining operational management responsibility for the Joint Venture. In early 2025 Sibanye-Stillwater, citing financial concerns, withdrew from its partnership with Ioneer. In 2025 the developer was seeking a new partner.",,,,,,,,"The Rhyolite Ridge Project is planned to consist of an open pit lithium and boron mine (referred to as a Quarry in the Water Pollution Control Permit Application), an Overburden Storage Facility (OSF), a processing plant, a Spent Ore Storage Facility (SOSF), and a sulfuric acid plant (SAP).",,,,In 2022 the DOE offered a conditional loan of up to $700 million to support the costs of constructing the processing facility. In early 2025 DOE upped the size of the loan to $996 million.,,,,,"The developer has signed binding offtake agreements with Ford Motor Company, with Prime Planet Energy and Solutions (a joint venture of Toyota and Panasonic), EcoPro Innovation, and Nevada-based Dragonfly Energy.",,,,"One lawsuit concerned whether USDA Fish and Wildlife Service should list Tiehm's buckwheat as endangered under the ESA. The second lawsuit, in 2024, challenged BLM's decision to approve the mine, given the ecological risks involved. ",,,A federal judge ruled in favor of CBD that the USDA Fish and Wildlife Service must rule within 30 days on CBD's petition to list Tiehm's buckwheat as an endangered species under the Endangered Species Act. A coalition of more than 100 scientists and botany groups had urged US F&W Service to list Tiehm’s buckwheat as endangered under the ESA.  ,,
Rock Creek,,,,,"The current developer withdrew the Plan of Operations for Rock Creek from consideration by the United States Forest Service (USFS).  This plan was prepared by the project’s prior owner and does not have the data necessary to inform the current developer's plan.  Recently, the current developer decided to give priority to the nearby Montanore project, which made Rock Creek a secondary priority.                                                          ","Coalition of tribal and environment groups led by Earthjustice persuaded a state district court judge that the state did not adequately consider the environmental impacts of the project, invalidating the water permit. The Montana Supreme Court ruled 5-2 that the state had adequately considered the environmental impacts. ",,,," Five miles northeast of Noxon (pop 464, 2020), western Montana. Site is located on the Clark Fork River, which flows into Lake Pend Oreille.",,,,,,,,June 2015 Hecla acquired the Rock Creek Project through purchase of previous developer Revett Mining Company.,,,,,,,,,,,,,,,,"In 2019 a state district court invalidated the developer’s permit to operate based on the allegation of environmental groups that the state had not adequately considered the environmental impacts of the mine.  In 2021 the Montana Supreme Court overruled the district court 5-2, thereby affirming the developer’s permit. ",,,,,
Roundtop,,,,,"The strategy with Round Top is to formulate a metallurgical process to concentrate or extract metals from the Round Top Project’s rhyolite, conduct additional engineering, design, geotechnical work, and permitting necessary for a bankable feasibility study, and then extract mineral resources.",,,,,"Located at Round Top Mountain near town of Sierra Blanca (pop 315, 2020) in far west Texas near the Mexican border.  El Paso is approximately 80 miles north-west of the project site.",,,,,,USA Rare Earth is entitled to acquire a 70% interest in the project by spending $10m for the finalization of processing technology and the completion of a bankable feasibility study (BFS). The developer also has an option to acquire an additional 10% interest through a $3m cash payment to TMRC,,,,,"Successful pilot plant in Wheat Ridge, Colorado; plans to move operation to Texas",,,,,,,,,,"Texas General Land Office. The developer holds 19-year renewable leases from the State of Texas on 950 acres encompassing Round Top and additional prospecting permits on adjacent areas covering an additional 9,345 acres.",,,,,,,,
Safford,,,,,"Safford is a mine-for-leach operation that produces copper cathode. The operation consists of three open pits, of which only Lone Star is currently being mined, feeding a crushing facility.  The developer continues to advance plans at Safford/Lone Star to increase volumes to achieve 300 million pounds of copper per year from oxide ores, which reflects expansion of the initial design capacity of 200 million pounds of copper per year. Positive drilling conducted in recent years indicates opportunities to expand production to include sulfide ores in the future. The developer is completing metallurgical testing and mine development planning and expects to commence pre-feasibility studies during 2024-2005 for a potentially significant expansion.",,,,,"Located 8 miles from Safford (pop 10,129, 2020), county seat of Graham County, southeast Arizona, 170 miles east of Phoenix.",,,,,,,,The mine was established in 1907. Ownership changed hands several times before current developer acquired it.  , 21 million pounds of molybdenum a year as well,,,,,,"In March 2024 Freeport-McMoRan was selected to receive $80 million through a cooperative agreement with the U.S. Department of Energy for a project to use geothermal energy to heat leaching stockpiles in Morenci and Safford and integrate battery energy storage and microgrid operations to improve electrical reliability in Morenci. By using geothermal energy, the project aims to generate clean, industrial-scale heat to enable the recovery over time of billions of pounds of residual copper through the company’s Leach to the Last Drop initiative from already mined material previously considered unrecoverable. The project could increase copper recovery by 25 million pounds or more annually, depending on the geothermal resources.",,,,,,"In September 2005, as part of a land swap, Phelps Dodge (which was subsequently purchased by Freeport-McMoran), transferred 3,867 acres of scattered ""environmentally sensitive"" land to the Bureau of Land Management (BLM) and purchased 16,297 acres, located next to where the Safford mine is located, from the BLM. ",,,,,,,,
Salton Sea (ATLiS),,"The developer will use ILiAD technology (developed by company) to separate lithium into useable form. The technology has been piloted with various brine resources across the United States and internationally, including in Utah, Texas, and Nevada, in addition to onsite in California.","The brine features additional recoverable critical minerals supporting America’s industrial base, including zinc and manganese, which ATLiS expects to extract and commercialize.   ",,The Imperial County Planning Commission has approved all aspects of the Project and the developer is working to secure the necessary financial support.  ,,,,," The nearest town Calipatria (pop 6,515, 2020), is about 23 miles from El Centro (pop 44,432, 2020), which is the county seat of Imperial County in southeastern California; over 100 miles east of San Diego. The Salton Sea is a shallow, landlocked, highly saline endorheic lake in Riverside and Imperial counties at the southern end of California. It lies on the San Andreas Fault within the Salton Trough, which stretches to the Gulf of California in Mexico.",,,,,,,,,,,"The facility will be sited next to an existing geothermal plant, which will supply the lithium-rich brine from the subsurface geothermal field located over one mile underground. After impurities are removed from the brine, the lithium will be separated out using the ILiAD™ DLE technology. ",,,,"In January 2025, DOE announced a direct loan of up to $1.36 billion to finance the construction, equipping, and operation of the facility in Imperial County, California, to produce lithium hydroxide from geothermal brine. ",,,,,,,,,,,,,,
Salton Sea (BHE),,"Like other developers applying direct lithium extraction technology in the Salton Sea, this developer has experienced some technical difficulties with corroded equipment from the superhot brine, but technical progress has been made. ",,,"In 2024 the California Energy Commission issued its Final Project Report on the developer’s Lithium Recovery Demonstration Project.  The report documented that the Project faced setbacks, leading to the termination of the technology provider's contract due to insufficient progress.  This underscored the significance of brine pretreatment to successful lithium recovery, prompting a shift to alternative technologies focused on enhancing this process. While the Project is considered to be delayed indefinitely, a new joint venture may bring new life to the project.  In June 2024, Occidental and BHE Renewables, a wholly owned subsidiary of Berkshire Hathaway Energy, announced a joint venture for the demonstration and deployment of TerraLithium’s Direct Lithium Extraction and associated technologies to extract and commercially produce high-purity lithium compounds from geothermal brine.  TerraLithium, a wholly owned subsidiary of Occidental, has patented DLE technologies that have the potential to process any lithium-containing brine into a responsibly sourced supply of high-purity lithium.",,,,,"The nearest town Calipatria (pop 6,515, 2020), is about 23 miles from El Centro (pop 44,432, 2020), which is the county seat of Imperial County in southeastern California; over 100 miles east of San Diego. The developer already has 10 geothermal plants in the Salton Sea region, with a demonstration of lithium extraction in the Imperial Valley at the southern end of the Salton Sea in southeastern California.   The Salton Sea is a shallow, landlocked, highly saline endorheic lake in Riverside and Imperial counties at the southern end of California. It lies on the San Andreas Fault within the Salton Trough, which stretches to the Gulf of California in Mexico.",,,,,,,,,,,,"Originally the plan was to process onsite to lithium hydroxide, but the developer switched to lithium carbonate; easier to process but hydroxide is preferred by some EV battery manufacturers. ",,,This grant was rescinded when the developer decided not to pursue the terms of the award.,,,,,,,,,,,,,,
Salton Sea (CTR),,Direct lithium extraction- ion-exchange technology.  ,,,The project is fully permitted and in January 2024 the developer broke ground on a commercial-scale facility to produce both renewable power and lithium hydroxide. ,,,,,"The project’s plants and facilities will be located on undeveloped land owned by the Imperial Irrigation District, which is about 3.6 miles southwest of Niland on 16 parcels. The Salton Sea is a shallow, landlocked, highly saline endorheic lake in Riverside and Imperial counties at the southern end of California. It lies on the San Andreas Fault within the Salton Trough, which stretches to the Gulf of California in Mexico.",,,"Controlled Thermal Resources Holdings, Inc. (CTR) is a U.S. company specializing in lithium and battery material products and renewable energy with projects in advanced development in the United States.  The company, which redomiciled to the United States in 2022, was established in 2013 in Australia but now has headquarters in Imperial County, California. Additional offices are located in Brisbane, Australia, and in Houston, Texas. ",,,,,,,,,,,,,,,,,"The developer has offtake agreements with General Motors, Stellantis and Statevolt (US battery manufacturer). ",,,,,,,"A California Superior Court judge (lowest level) has ruled against environmental and tribal groups, allowing the CTR DLE project at the Salton Sea to proceed. The judge ruled that the County did analyze the environmental impacts and did reach out to the tribes for their views. The plaintiffs have appealed to a higher state court (2025). ",,
Sawyer Camp,,,,,,,,,,"Upper Peninsula, Michigan.  The Sawyer Camp is located approximately 38 miles to the south of the active Eagle Mine (nickel), which is owned by Lundin Mining Corporation ",,,,,,,,,,,,,,,,,,,,,"1,840 acres of State and private mineral rights. ",,,,,,,,
Sheep Creek,,,,"Commercial mining hasn’t taken place in the Bitterroot National Forest for decades. Previous mining activity in the Forest includes the Skalkaho Vermiculite Deposit in the Sapphire Mountains east of Hamilton, but mining hasn’t taken place for decades. The most recent activity was an EIS (environmental impact statement) approved in 1993, but the mine never went into operation and the disturbance has since been reclaimed.","The developer’s original plan was to submit in 2024 a plan of operations to the USFS that includes exploratory drilling.  However, the developer decided to delay that submission until 2025 as it consults with nearby communities and completes low-disturbance soil and rock sampling.",,,,,"Located 38 miles south of Darby (pop 780, 2020) near the headwaters of the Bitterroot River in the Bitterroot National Forest (south of the Painted Rocks Reservoir), southwest Montana.",,,,,,,,In 2024 the Canadian-based company U.S. Critical Metals pulled out of the project but retains a 12% stake in U.S. Critical Materials.,,,,,,,Small amounts of DOE and DOD R&D funding.,,,,,,"Contiguous footprint of over 218 federal lode mining claims over approximately 4,503 acres plus an Arizona state exploration permit for 640 acres.",,,,,,,,
Sierrita,,,,"Started as underground mine in 1920s, then open pit method in 1945.",Serrita is the third largest copper-producing mine in the US and has sufficient reserves to be operated past 2090. Project has 873.6 million tonnes of ore grading 0.36% copper.,,,,," Located southwest of Tucson and west of the near towns of Green Valley (pop 22,616, 2020) and Sahuarita (pop 34,134, 2020), close to the Mexican border. ",,,,,,,,Claimed in 1882 and changed hands several times before FCX acquired it. Current developer acquired it in 2007.,,,,"Some processing occurs on site.  Looking forward, SX/EW plant will produce approximately 9 million pounds per year of copper cathode from solution generated by low-grade stockpile leaching.
A pressure-leach plant will process molybdenum concentrate.  ",,,,,,,,,,,,,,,,,
Silver Bell,,Shift from underground to surface mining occurred after World War 2.,,,"A major expansion of the mine is unlikely. More copper resources may exist east and west of the currently active mining area, but that ground is effectively off-limits because it lies within Ironwood Forest National Monument.","Silver Bell is an active mine with expansion potential east and west of the current footprint. However, that ground is off-limits because it lies within the Ironwood Forest National Monument. Congress has generally placed land around National Monuments off limits to mining.",,,,"Located next to the Ironwood Forest National Monument near Mirana (pop 51,906, 2020), 36 miles northwest of Tucson, Arizona.  Silver Bell is an abandoned mining town that existed twice. The project site is 4 miles southeast of the original town site.",,,,,,,,"ASARCO acquired the site in 1915.  Sold 25% interest to Mitsui in 1996.  Resumed 100% ownership in 2014. ASARCO owned by Grupo Mexico, largest mining company in Mexico. ",,,,"Copper-bearing solutions from the dump leach and rubble areas are collected and pumped to the solvent extraction plant where the copper in solution is concentrated over 30 times before being pumped to the tank house. In the tank house, the copper is recovered from solution using the electrowinning process and plated on stainless steel starter sheets as high-purity cathodes.  Cathode copper produced in the solvent extraction / electrowinning (SX/EW) operation is sold to producers of copper rod, tubing and wire.",,,,,,,,,,,,,,,,,
Silver Peak,                                                                                                                                                                                                                                                                                                                                                                                       ,,,,"The developer was doubling production at Silver Peak when the global lithium slump caused financial problems (2023-2024) for the developer.  It is not yet clear whether the expansion will be delayed or pared back.; In 2025, this expansion project was added by the Trump administration to the FAST-41 dashboard to accelerate its permitting.   ","While Albemarle was initially granted all the water rights in the county, with more lithium companies beginning operations in the area, they have had to defend their water rights in judicial and regulatory proceedings.",,,,"Located 40 miles southwest of Tonopah (pop 2,179, 2020), near town of Silver Peak (pop 213, 2022), Clayton Valley, western edge of Nevada near the California line. ",,,,,,,,,,,,"Onsite chemical processing makes it into lithium carbonate; a small lithium hydroxide conversion plant operates on site. Some of the carbonate from Silver Peak is sent to Albemarle’s processing facility in Kings Mountain, North Carolina. There it can be further refined into lithium hydroxide, which is used for electric vehicle batteries.  First stage processing: brine is taken to an on-site plant, where lime and soda ash is added to further the transformation; it is then filtered, pressed and dried into lithium carbonate. ",$30-50 million for expansion project ,,$9.3 million of a $30 million DOE grant (2024) to Albemarle will be used to support expansion of lithium carbonate production at Silver Peak. ,,,,,,"Public and Private: 6,068 acres is private land owned by – or leased to – Albemarle; another 1,318 acres is on public land administered by the BLM.  ",,,"There is a long history of litigation over water rights in water-stressed Clayton Valley, Nevada as Albemarle claims almost exclusive access (as it operates the Silver Peak lithium mine and has expansion plans).  Other developers have sued Albemarle seeking access, claiming that Albemarle is not using all of its allotted water rights and they don't last forever.  One developer, Nevada Sunrise, was in litigation with Albemarle from 2017-2019 and finally reached a settlement in July 2019.            ",,,,,
Smackover-LANXESS,"Also called Phase 1A Project. The LANXESS Project refers to a suite of contemplated staged expansion projects relating to the LANXESS South, Central, and West Brine Production Units. This Commercial Lithium Extraction Plant Project at
LANXESS South Plant (Phase 1A or Project) is the first stage of development of the LANXESS Project.
                                                                                                                                                                                                                                                                                                                                           ","The developer has selected the Lithium Selective Sorption (LSS) process as the Direct Lithium Extraction (DLE) process for the project. LSS is a Koch Technology Solutions, LLC (KTS) proprietary technology to extract lithium ions from pre-treated Smackover brine.",,,                                                  ,,,,,"Located 8 miles southwest of El Dorado, a city in and the county seat of Union County, on the southern border of Arkansas. The Smackover Formation is a limestone aquifer that spans across several states in the southern United States, including Texas, Arkansas, Louisiana, Mississippi, and Alabama. It includes a broad area of oil and gas production and a region of active production of bromine. While the area is now mostly emptied of fossil fuels, it is filled with a brine that contains lithium, perhaps the highest lithium concentrations in continental brines in the United States. ",,,,,,,,,,,The developer is looking into constructing a facility to process Li into Lithium Carbonate at the El Dorado facility.,,,,January 2025 DOE grant ($225 M) to Standard Lithium for construction of DLE facility in Arkansas (Smackover),,,,,,"LANXESS, a specialty chemicals company, has exclusive brine extraction rights for 149,442 acres which is contained within three brine production units, known as the South, Central, and West Brine Units.                   ",,,,,,,,
Smackover-XOM/Galvanic,,"The developer will use conventional oil and gas drilling methods to access lithium-rich saltwater from reservoirs about 10,000 ft underground, and then apply direct lithium extraction (DLE) technology to separate lithium from the saltwater.  The remaining saltwater will be reinjected into the underground reservoirs. ",,,The developer plans to begin production in 2027.  Development may be slowed by the State of Arkansas's slow pace in resolving the size of royalties.  ,,,,,"Located approximately 15 miles west of the City of Magnolia in Lafayette County, southwestern Arkansas, United States. The SWA Property lies wholly within Lafayette and Columbia counties. The Smackover Formation is a limestone aquifer that spans across several states in the southern United States, including Texas, Arkansas, Louisiana, Mississippi, and Alabama. It includes a broad area of oil and gas production and a region of active production of bromine. While the area is now mostly emptied of fossil fuels, it is filled with a brine that contains lithium, perhaps the highest lithium concentrations in continental brines in the United States.  ",,,,,,,,"The developer acquired its Smackover rights from Galvanic Energy in early 2023. Building on the deal with Galvanic, the developer entered into a partnership with Tetra Technologies Inc. to jointly develop 6,100 lithium-rich Smackover formation acres.",,,,"Once lithium is extracted from brine, the developer will convert it onsite to battery-grade material.",,,,,,,,,"The SWA Property is comprised of 489 land tracts containing 851 individual leases and eight salt water (brine) deeds that covers 27,066 net mineral acres (10,953 net mineral hectares). The proposed unitized SWA Property encompasses 36,839 gross mineral acres (14,908 gross mineral hectares) and forms the updated 2023 resource and project area. The leases and deeds are held by TETRA. TETRA began acquiring brine deeds and/or brine leases in 1992 and added additional brine leases in 1994, 2006 and 2017. Standard Lithium acquired the SWA Project brine production rights to lithium directly from TETRA through an option agreement providing that Standard Lithium makes annual payments.",,,,,,,,
Sunnyside Copper,                                                                                                                                                                                        ,,,,"The developer’s 2024 diamond core drilling program revealed high-grade copper-silver and lead-zinc-silver veins, underscoring the promise of the project.","A previous developer was awarded a permit by USFS for exploratory drilling but, in 2015, environmental groups persuaded a district court that USFS had not performed an adequate NEPA analysis.  Further delays occurred when the previous developer and another developer disputed land rights around the project.  The current developer again obtained a USFS permit for exploratory drilling and, in 2023-2024, worked with the USFS to defeat another lawsuit against USFS, which called for a preliminary injunction against the exploration permit based on environmental concerns. A key theme of this lawsuit is that USFS allegedly failed to consider the cumulative harm from multiple mining projects in the same mountainous ecosystem.        ",,,,"Located 20 miles north of the Mexican border, 7 miles from the town of Patagonia (pop 804, 2020), 15.5 miles northeast of the Town of Nogales (pop 19,770, 2020) in southern Arizona; about 50 miles south of Tucson in the in southern Patagonia mountains. ",,,,,,,,The developer acquired 100% ownership of the project from Ragsdale in May 2021.  Previously it was a joint venture.       ,,,,,,,,,,,,,,,," In the first case, environmental groups persuaded a federal district court (2015) to block an exploratory drilling plan until the USFS and the developer completed an adequate environmental analysis (EA). The USFS had granted the developer a categorical exclusion for an EA under NEPA because of the limited duration and scope of the exploration plan.   In the second case, environmentalists in 2023 sought a preliminary injunction against exploratory drilling at the site.  A federal district court and the 9th Circuit refused to grant the injunction; the merits of the lawsuit are being heard in the federal district court in 2024.                         ",,,,,
